food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
wolffish raw,294,7.3,1.1,2.6,2.6,0.0,0.0,53.6,0.0,140.8,0.3,244.5,0.3,0.6,0.062,0.074,0.2,6.5,1.7,1.2,0.0,0.0,0.0,0.0,18.4,0.028,0.3,91.8,0.033,612.0,918.0,0.1,2.4
bluefin tuna cooked,276,9.4,2.4,3.1,2.8,0.0,0.0,44.9,0.0,73.5,0.02,88.6,1.1,0.4,0.034,0.062,0.5,15.8,2.1,0.8,0.0,0.0,0.0,0.0,15.0,0.2,2.0,96.0,0.028,489.0,484.5,0.036,1.2
scup cooked,68,1.8,0.0,0.0,0.0,0.0,0.0,12.1,0.0,33.5,0.061,34.2,0.093,0.004,0.051,0.037,0.044,2.5,0.4,0.2,0.0,0.0,0.0,0.0,25.5,0.078,0.3,14.5,0.034,118.5,184.0,0.015,0.3
herring cooked,290,16.6,3.7,6.8,3.9,0.0,0.0,32.9,0.0,110.1,0.2,91.7,0.076,0.2,0.067,0.06,0.4,5.9,1.1,0.5,1.0,0.0,2.0,0.074,105.8,0.2,2.0,58.6,0.082,433.3,599.2,0.066,1.8
bluefish raw,186,6.4,1.4,2.7,1.6,0.0,0.0,30.1,0.0,88.5,0.028,106.3,0.2,0.033,0.051,0.032,0.1,8.9,1.2,0.6,0.0,0.0,0.0,0.0,10.5,0.042,0.7,49.5,0.057,340.5,558.0,0.083,1.2
sheepshead cooked,234,3.0,0.7,0.7,0.7,0.0,0.0,48.4,0.0,119.0,0.1,128.4,0.069,0.061,0.058,0.062,0.089,3.3,1.6,0.7,0.0,0.0,0.0,0.0,68.8,0.2,1.2,65.1,0.085,651.0,952.3,0.065,1.2
bass cooked,91,2.9,0.6,1.1,0.8,0.0,0.0,15.0,0.0,53.9,0.078,42.6,0.073,0.081,0.085,0.002,0.009,0.9,0.5,0.023,1.3,0.0,0.0,0.0,63.9,0.047,1.2,23.6,0.7,158.7,282.7,0.026,0.5
pout cooked,279,3.2,1.1,1.2,0.1,0.0,0.0,58.4,0.0,183.6,0.2,208.5,0.062,0.3,0.077,0.017,0.2,7.0,0.5,0.8,0.0,0.0,0.0,0.0,35.6,0.1,1.0,46.6,0.022,701.4,1405.6,0.1,3.6
chinook salmon raw,709,41.3,12.3,17.4,11.1,0.0,0.0,78.9,0.0,198.0,0.2,283.7,0.5,0.2,0.1,0.077,0.4,33.3,3.0,1.6,15.8,0.0,4.8,0.0,103.0,0.2,1.0,376.2,0.034,1144.4,1560.2,0.1,1.7
rockfish raw,172,2.6,0.7,0.7,0.8,0.0,0.0,35.1,0.0,95.5,0.1,151.0,0.007,0.039,0.045,0.092,0.4,4.6,0.6,0.4,0.0,0.027,0.7,0.0,26.7,0.021,0.6,51.6,0.064,391.6,737.3,0.1,0.7
tilefish raw,371,8.9,1.7,2.2,2.3,0.0,0.0,67.6,0.0,193.0,0.2,304.6,0.057,0.5,0.042,0.057,0.6,11.2,2.9,1.0,0.0,0.0,0.0,0.0,100.4,0.2,1.0,108.1,0.008,721.8,1671.4,0.1,1.4
scup raw,174,4.5,1.1,0.9,1.7,0.0,0.0,31.3,0.0,86.3,0.082,125.1,0.037,0.2,0.02,0.014,0.2,6.8,1.2,0.5,0.0,0.077,0.8,0.001,66.4,0.008,0.9,38.2,0.086,307.1,476.4,0.09,0.8
sablefish cooked,755,59.3,12.4,31.2,7.9,0.0,0.0,51.9,0.0,190.3,0.2,189.8,0.3,0.4,0.085,0.046,0.3,15.5,2.6,1.0,0.0,0.0,0.0,0.0,135.9,0.013,5.0,214.4,0.095,649.3,1386.2,0.1,1.2
tuna salad,383,19.0,3.2,5.9,8.5,19.3,0.0,32.9,0.0,26.7,0.8,129.5,0.004,0.028,0.059,0.049,0.1,13.7,0.5,0.2,4.5,0.0,0.0,0.0,34.9,0.3,2.1,39.0,0.082,364.9,364.9,0.001,1.1
coho salmon cooked,255,11.8,2.8,5.2,2.8,0.0,0.0,34.7,0.0,90.1,0.06,95.8,0.063,0.1,0.064,0.086,0.2,10.6,1.8,0.8,2.1,0.0,0.0,0.0,17.2,0.1,0.6,48.6,0.056,474.8,657.8,0.081,0.7
roe raw,20,0.9,0.2,0.2,0.4,0.2,0.0,3.1,0.0,52.4,0.052,9.5,0.028,0.025,0.068,0.004,0.1,0.3,0.1,0.072,2.2,0.02,1.0,0.018,3.1,0.062,0.085,2.8,0.002,56.3,30.9,0.059,0.1
sea bass raw,125,2.6,0.7,0.5,1.0,0.0,0.0,23.8,0.0,52.9,0.084,101.0,0.001,0.1,0.079,0.064,0.2,2.1,1.0,0.5,0.0,0.071,1.1,0.091,12.9,0.079,0.4,52.9,0.09,250.3,330.2,0.082,0.5
pink salmon cooked,349,12.0,2.2,3.7,2.2,0.0,0.0,56.0,0.0,125.4,0.2,161.1,0.029,0.055,0.2,0.043,0.012,0.3,21.9,2.8,1.6,0.0,0.041,1.1,0.066,18.2,0.2,1.0,73.0,0.003,713.6,1000.9,0.089
sockeye salmon cooked,493,17.3,3.0,5.8,4.1,0.0,0.0,82.1,0.0,189.1,0.3,208.7,0.087,0.2,0.5,0.035,0.04,0.8,31.4,4.3,2.6,0.0,0.016,3.1,0.089,34.1,0.2,1.6,111.6,0.096,945.5,1351.6,0.1
whitefish raw,265,11.6,1.8,4.0,4.3,0.0,0.0,37.8,0.0,118.8,0.1,144.1,0.092,0.3,0.089,0.095,0.2,5.9,1.5,0.6,0.0,0.095,0.4,0.061,51.5,0.1,0.7,65.3,0.1,534.6,627.7,0.059,2.0
greenland halibut cooked,760,56.4,9.9,34.2,5.6,0.0,0.0,58.6,0.0,187.6,0.3,196.8,0.093,0.2,0.07,0.004,0.3,6.1,0.9,1.5,0.0,0.0,0.0,0.0,12.7,0.1,2.7,104.9,0.075,667.8,1093.9,0.1,1.6
northern pike cooked,350,2.7,0.5,0.6,0.8,0.0,0.0,76.5,0.0,155.0,0.2,226.2,0.095,0.2,0.098,0.088,0.2,8.7,2.7,0.4,11.8,0.0,0.0,0.0,226.3,0.2,2.2,124.0,1.0,874.2,1026.1,0.024,2.7
salmon raw,824,53.1,12.1,14.9,15.4,0.0,0.0,80.9,0.0,217.8,0.2,257.0,0.0,0.8,0.1,0.021,0.6,34.3,6.1,2.5,15.4,0.0,14.1,0.059,35.6,0.2,1.3,106.9,0.029,950.4,1437.5,0.014,1.4
turbot cooked,388,12.0,0.0,0.0,0.0,0.0,0.0,65.4,0.0,197.2,0.6,224.0,0.02,0.2,0.04,0.026,0.3,8.5,2.1,0.8,5.4,0.0,0.0,0.0,73.1,0.1,1.5,206.7,0.064,524.7,969.9,0.1,0.9
surimi,28,0.3,0.059,0.043,0.1,1.9,0.0,4.3,0.0,8.5,0.042,21.6,0.084,0.072,0.006,0.035,0.078,0.062,0.055,0.064,0.0,0.0,0.2,0.003,2.5,0.007,0.057,12.2,0.043,79.8,31.7,0.047,0.026
chinook salmon cooked,711,41.2,9.9,17.7,8.2,0.0,0.0,79.2,0.0,261.8,0.2,202.0,0.5,0.1,0.1,0.065,0.5,30.9,2.7,1.4,12.6,0.0,0.0,0.0,86.2,0.2,2.8,375.8,0.074,1142.7,1555.4,0.1,1.7
mullet cooked,140,4.5,1.3,1.3,0.9,0.0,0.0,23.1,0.0,58.6,0.001,65.6,0.053,0.022,0.034,0.084,0.09,5.9,0.8,0.5,1.1,0.0,0.0,0.0,28.8,0.1,1.3,30.7,0.048,226.9,425.9,0.027,0.8
chum salmon raw,3,0.1,0.08,0.035,0.037,0.0,0.0,0.6,0.0,2.1,0.029,2.1,0.08,0.016,0.097,0.065,0.06,0.2,0.043,0.036,0.0,0.0,0.093,0.0,0.3,0.091,0.038,0.6,0.055,7.9,12.0,0.02,0.062
butterfish raw,47,2.6,1.1,1.1,0.2,0.0,0.0,5.5,0.0,20.8,0.072,23.7,0.031,0.073,0.04,0.048,0.077,1.4,0.2,0.03,0.0,0.0,0.0,0.0,7.0,0.065,0.2,8.0,0.091,76.8,120.0,0.067,0.2
sea bass cooked,125,2.6,0.7,0.5,1.0,0.0,0.0,23.9,0.0,53.5,0.058,72.9,0.053,0.1,0.048,0.046,0.2,1.9,0.9,0.5,0.0,0.0,0.0,0.0,13.1,0.046,0.4,53.5,0.056,250.5,331.3,0.023,0.5
greenland halibut raw,759,56.5,9.9,34.2,5.6,0.0,0.0,58.6,0.0,187.7,0.3,286.7,0.009,0.2,0.069,0.005,0.3,6.1,1.0,1.7,0.0,0.1,3.0,0.091,12.2,0.1,2.7,106.1,0.045,669.1,1093.4,0.1,1.6
halibut raw,371,5.4,1.2,1.9,1.2,0.0,0.0,75.7,0.0,199.9,0.3,327.8,0.072,0.2,0.079,0.015,0.1,26.6,1.4,2.2,0.0,0.031,2.5,0.0,28.6,0.08,0.7,93.8,0.02,962.9,1774.8,0.2,1.5
sturgeon cooked,184,7.0,1.6,3.4,1.2,0.0,0.0,28.2,0.0,104.7,0.019,95.1,0.4,0.1,0.072,0.087,0.1,13.7,1.2,0.3,0.0,0.073,0.9,0.039,23.1,0.054,1.2,61.2,0.038,368.6,495.0,0.044,0.7
fish fillet fried,211,11.2,2.6,2.3,5.7,15.4,0.0,13.3,0.5,30.9,0.5,48.7,0.095,0.043,0.05,0.054,0.089,1.9,0.2,0.066,0.0,0.0,0.0,0.0,16.4,0.003,1.9,21.8,0.2,155.6,291.2,0.035,0.4
rainbow trout raw,111,4.9,1.1,1.6,1.2,0.0,0.0,15.8,0.0,46.6,0.022,58.3,0.044,0.032,0.056,0.057,0.091,4.4,1.3,0.3,2.3,0.056,1.8,0.094,19.8,0.096,0.2,19.8,0.008,178.5,297.8,0.067,0.4
